epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,915.833,0.68175,0.64364,1.20245,0.92801,0.87404,0.93613,0.85642,0.42816,0.53617,0.99132,0.000312497,0.000312497,0.000312497
43,937.31,0.67338,0.64115,1.20176,0.88534,0.86325,0.90968,0.8111,0.48187,0.63906,1.0228,0.000307289,0.000307289,0.000307289
44,958.806,0.6779,0.60796,1.20083,0.91281,0.87481,0.92566,0.83769,0.46023,0.59936,1.01824,0.000302082,0.000302082,0.000302082
45,979.999,0.67873,0.62482,1.20435,0.92683,0.87897,0.93472,0.84779,0.46016,0.52733,1.01221,0.000296874,0.000296874,0.000296874
46,1001.22,0.68399,0.64206,1.21184,0.92554,0.85385,0.92349,0.84825,0.43072,0.55461,0.98602,0.000291667,0.000291667,0.000291667
47,1022.72,0.66852,0.61841,1.19829,0.91144,0.85042,0.92621,0.84987,0.42692,0.63504,0.99801,0.00028646,0.00028646,0.00028646
48,1043.9,0.66882,0.61825,1.19556,0.93037,0.87037,0.93721,0.861,0.41733,0.50838,0.99245,0.000281252,0.000281252,0.000281252
49,1065.49,0.66459,0.59518,1.19177,0.90968,0.8711,0.93207,0.83838,0.50207,0.57023,1.02159,0.000276045,0.000276045,0.000276045
50,1086.64,0.6635,0.60325,1.19775,0.93836,0.84988,0.92632,0.84625,0.42602,0.55502,0.98941,0.000270837,0.000270837,0.000270837
51,1107.98,0.64904,0.60099,1.18533,0.90978,0.8914,0.94129,0.87438,0.40432,0.48456,0.96912,0.00026563,0.00026563,0.00026563
52,1129.44,0.65101,0.59584,1.19192,0.91808,0.85275,0.92394,0.85673,0.40262,0.56476,0.97438,0.000260423,0.000260423,0.000260423
53,1150.66,0.64575,0.58638,1.18299,0.92523,0.87633,0.93038,0.8552,0.42628,0.54304,0.98794,0.000255215,0.000255215,0.000255215
54,1171.99,0.6361,0.57389,1.17851,0.94375,0.87842,0.93573,0.87034,0.40054,0.49616,0.96769,0.000250008,0.000250008,0.000250008
55,1193.47,0.62818,0.56363,1.16819,0.84449,0.90102,0.91836,0.84361,0.41645,0.60457,0.98682,0.0002448,0.0002448,0.0002448
56,1215,0.62569,0.5681,1.16643,0.92498,0.88352,0.93498,0.86077,0.42933,0.51221,1.00804,0.000239593,0.000239593,0.000239593
57,1236.45,0.63244,0.5566,1.17296,0.92739,0.88059,0.93375,0.86351,0.40242,0.50306,0.97116,0.000234386,0.000234386,0.000234386
58,1257.67,0.62538,0.56544,1.1755,0.91101,0.91347,0.94191,0.87852,0.40096,0.47877,0.98355,0.000229178,0.000229178,0.000229178
59,1279.33,0.62606,0.5719,1.17433,0.92179,0.88099,0.93955,0.87562,0.41241,0.52214,0.98121,0.000223971,0.000223971,0.000223971
60,1300.53,0.61557,0.54374,1.16536,0.92826,0.86301,0.93251,0.87069,0.40183,0.54521,0.96988,0.000218763,0.000218763,0.000218763
61,1322.11,0.62357,0.54992,1.16324,0.8996,0.88927,0.93912,0.8743,0.4108,0.52164,0.96957,0.000213556,0.000213556,0.000213556
62,1343.43,0.6116,0.54243,1.15862,0.93344,0.87857,0.92871,0.85876,0.40409,0.52521,0.97238,0.000208349,0.000208349,0.000208349
63,1364.8,0.60968,0.54282,1.15122,0.92113,0.90433,0.94199,0.8857,0.39731,0.46878,0.96971,0.000203141,0.000203141,0.000203141
64,1386.56,0.61434,0.53881,1.16184,0.89881,0.87647,0.92687,0.86672,0.38722,0.56799,0.96497,0.000197934,0.000197934,0.000197934
65,1407.78,0.60679,0.53526,1.15727,0.92688,0.88788,0.93889,0.87928,0.38426,0.51996,0.95573,0.000192726,0.000192726,0.000192726
66,1429.3,0.60593,0.53743,1.16242,0.92451,0.88901,0.93808,0.87593,0.3864,0.5093,0.96057,0.000187519,0.000187519,0.000187519
67,1450.42,0.60969,0.54128,1.15966,0.93615,0.87436,0.94201,0.89199,0.37287,0.47676,0.94743,0.000182312,0.000182312,0.000182312
68,1472.13,0.59807,0.51797,1.14663,0.88306,0.90667,0.93511,0.88231,0.3758,0.51582,0.95426,0.000177104,0.000177104,0.000177104
69,1493.34,0.59499,0.51492,1.14894,0.91325,0.89955,0.93696,0.88741,0.37605,0.51044,0.94455,0.000171897,0.000171897,0.000171897
70,1514.75,0.5958,0.50631,1.14813,0.93419,0.86504,0.93211,0.87725,0.3908,0.52088,0.96083,0.000166689,0.000166689,0.000166689
71,1536.26,0.59323,0.51127,1.15035,0.89263,0.8856,0.92675,0.86965,0.37666,0.60058,0.95615,0.000161482,0.000161482,0.000161482
72,1557.59,0.5847,0.49517,1.14138,0.94034,0.88298,0.94677,0.89241,0.37698,0.47765,0.94957,0.000156275,0.000156275,0.000156275
73,1579.02,0.58753,0.50112,1.14337,0.90439,0.91159,0.94484,0.89407,0.3584,0.47207,0.93699,0.000151067,0.000151067,0.000151067
74,1600.49,0.57453,0.49541,1.13697,0.93151,0.89987,0.94296,0.89247,0.37185,0.47578,0.95423,0.00014586,0.00014586,0.00014586
75,1621.95,0.57087,0.49096,1.13331,0.93103,0.87859,0.93595,0.88839,0.36989,0.52226,0.94404,0.000140652,0.000140652,0.000140652
76,1643.53,0.57789,0.49422,1.13866,0.91807,0.8794,0.93305,0.87851,0.37037,0.51052,0.95408,0.000135445,0.000135445,0.000135445
77,1664.71,0.57278,0.4983,1.1372,0.92081,0.90591,0.94053,0.89483,0.36247,0.46815,0.94245,0.000130238,0.000130238,0.000130238
78,1686.26,0.56587,0.48215,1.12828,0.9421,0.88792,0.93954,0.8881,0.35666,0.47638,0.94489,0.00012503,0.00012503,0.00012503
79,1707.63,0.57764,0.49224,1.13904,0.9445,0.89133,0.94256,0.89278,0.35856,0.46354,0.93739,0.000119823,0.000119823,0.000119823
80,1729.01,0.57217,0.48722,1.13146,0.93165,0.89177,0.94123,0.89259,0.35005,0.48375,0.93516,0.000114615,0.000114615,0.000114615
81,1750.36,0.56418,0.47478,1.13112,0.93433,0.88688,0.94031,0.89383,0.34589,0.47684,0.93565,0.000109408,0.000109408,0.000109408
82,1771.64,0.55768,0.47083,1.12336,0.936,0.89545,0.94313,0.89894,0.34537,0.46413,0.92875,0.000104201,0.000104201,0.000104201
83,1793.16,0.56133,0.47021,1.12787,0.93797,0.8892,0.94109,0.895,0.33933,0.47526,0.92997,9.89932e-05,9.89932e-05,9.89932e-05
84,1814.44,0.55331,0.46436,1.12756,0.92717,0.91799,0.94567,0.90028,0.33892,0.43929,0.9282,9.37858e-05,9.37858e-05,9.37858e-05
85,1835.95,0.5481,0.45704,1.11767,0.94539,0.8884,0.94336,0.90394,0.34004,0.46541,0.92825,8.85784e-05,8.85784e-05,8.85784e-05
86,1857.6,0.55087,0.4638,1.12214,0.93645,0.88425,0.93945,0.89788,0.34026,0.48078,0.92456,8.3371e-05,8.3371e-05,8.3371e-05
87,1878.85,0.5536,0.46122,1.1248,0.92185,0.89618,0.94098,0.89746,0.34518,0.48075,0.92711,7.81636e-05,7.81636e-05,7.81636e-05
88,1900.09,0.53834,0.45116,1.11793,0.93421,0.88206,0.9386,0.8945,0.34576,0.51134,0.93092,7.29562e-05,7.29562e-05,7.29562e-05
89,1921.3,0.54086,0.45418,1.11889,0.93531,0.89634,0.94352,0.89851,0.34242,0.46099,0.9265,6.77488e-05,6.77488e-05,6.77488e-05
90,1942.82,0.54465,0.4527,1.11435,0.93008,0.89601,0.94024,0.89899,0.3393,0.48511,0.92188,6.25414e-05,6.25414e-05,6.25414e-05
91,1967.67,0.37472,0.25824,1.01984,0.92078,0.89863,0.93611,0.88918,0.34277,0.50568,0.92023,5.7334e-05,5.7334e-05,5.7334e-05
92,1988.21,0.35347,0.23491,1.00351,0.93096,0.86939,0.92851,0.88092,0.35034,0.54642,0.9313,5.21266e-05,5.21266e-05,5.21266e-05
93,2008.81,0.34689,0.22749,1.00024,0.923,0.89409,0.9323,0.88421,0.34157,0.49155,0.92398,4.69192e-05,4.69192e-05,4.69192e-05
94,2029.39,0.33609,0.2234,0.9853,0.92549,0.8826,0.93217,0.88338,0.34017,0.50455,0.92096,4.17118e-05,4.17118e-05,4.17118e-05
95,2050.38,0.34067,0.22429,0.99263,0.92651,0.87998,0.92827,0.88569,0.34484,0.52967,0.9265,3.65044e-05,3.65044e-05,3.65044e-05
96,2071.13,0.33605,0.22046,0.98994,0.92254,0.88983,0.9374,0.88919,0.34644,0.49872,0.92439,3.1297e-05,3.1297e-05,3.1297e-05
97,2092.21,0.33082,0.21162,0.98673,0.92043,0.89231,0.93854,0.89061,0.3502,0.51218,0.92254,2.60896e-05,2.60896e-05,2.60896e-05
98,2113.04,0.3221,0.20806,0.9748,0.91681,0.89131,0.93743,0.89344,0.34425,0.52255,0.91996,2.08822e-05,2.08822e-05,2.08822e-05
99,2133.59,0.327,0.21168,0.98457,0.92676,0.88546,0.93735,0.89349,0.33783,0.50565,0.9151,1.56748e-05,1.56748e-05,1.56748e-05
100,2154.35,0.32248,0.2096,0.97957,0.9263,0.8871,0.9386,0.89657,0.33282,0.4939,0.91373,1.04674e-05,1.04674e-05,1.04674e-05
